Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,   Account Balance   ,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,  Transaction Amount  ,  Account Balance After Transaction  ,Branch ID,Loan ID,  Loan Amount  ,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,  Credit Limit  ,  Credit Card Balance  ,  Minimum Payment Due  ,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
1,Joshua,Hall,45,Male,Address_1,Fort Worth,19458794854,joshua.hall@kag.com,Current," 1,313.38 ",5/26/2006,4/23/2023,1,12/7/2023,Withdrawal,"1,457.61","2,770.99",43,1,"32,200.06",Mortgage,264.00%,36,5/11/2021,Rejected,1,AMEX,"1,737.88","4,524.32",226.22,11/26/2023,3/20/2023,8142,1,10/6/2023,Suggestion,Resolved,1/22/2023,1
2,Mark,Taylor,47,Female,Address_2,Louisville,19458794855,mark.taylor@kag.com,Current," 5,988.46 ",3/2/2006,1/27/2023,2,4/27/2023,Deposit,"1,660.99","7,649.45",63,2,"47,743.52",Auto,248.00%,36,7/30/2020,Approved,2,MasterCard,"1,799.36",856.7,42.84,11/5/2023,6/16/2023,4306,2,4/7/2023,Complaint,Resolved,8/27/2023,1
3,Joseph,Flores,25,Female,Address_3,Philadelphia,19458794856,joseph.flores@kag.com,Current," 8,277.88 ",7/19/2015,1/1/2023,3,4/5/2023,Deposit,839.91,"7,437.97",82,3,"47,981.31",Auto,784.00%,24,1/17/2021,Closed,3,AMEX,"6,112.96","3,242.36",162.12,1/8/2023,3/20/2023,4842,3,9/7/2023,Praise,Pending,5/11/2023,1
4,Kevin,Lee,52,Other,Address_4,Oklahoma City,19458794857,kevin.lee@kag.com,Savings," 7,487.21 ",1/30/2008,8/2/2023,4,7/28/2023,Withdrawal,"4,908.89","12,396.10",41,4,"4,482.80",Personal,721.00%,48,2/15/2022,Approved,4,MasterCard,"2,069.41","4,329.17",216.46,9/8/2023,10/15/2023,9463,4,5/28/2023,Complaint,Resolved,7/5/2023,1
5,Linda,Johnson,68,Other,Address_5,Phoenix,19458794858,linda.johnson@kag.com,Savings," 6,993.55 ",5/25/2021,3/27/2023,5,1/16/2023,Transfer,589.07,"6,404.48",9,5,"1,092.33",Mortgage,537.00%,12,7/31/2020,Approved,5,Visa,"2,765.30",25.72,1.29,3/4/2023,7/27/2023,2209,5,2/12/2023,Complaint,Resolved,11/21/2023,1
6,Charles,Torres,52,Male,Address_6,El Paso,19458794859,charles.torres@kag.com,Savings," 9,295.64 ",12/21/2015,6/4/2023,6,4/21/2023,Withdrawal,"4,914.67","4,380.97",20,6,"48,039.24",Mortgage,145.00%,24,11/14/2020,Closed,6,AMEX,"8,029.18","1,331.70",66.59,5/13/2023,11/16/2023,478,6,8/6/2023,Praise,Resolved,7/23/2023,1
7,Joshua,Garcia,43,Male,Address_7,Dallas,19458794860,joshua.garcia@kag.com,Current," 4,005.72 ",7/7/2022,3/21/2023,7,11/22/2023,Deposit,"3,534.90",470.82,21,7,"27,230.51",Mortgage,525.00%,24,1/26/2020,Approved,7,MasterCard,"2,996.82","1,441.65",72.08,3/16/2023,10/9/2023,5745,7,8/20/2023,Complaint,Pending,7/31/2023,1
8,Christopher,Baker,47,Male,Address_8,Memphis,19458794861,christopher.baker@kag.com,Savings," 1,458.45 ",12/14/2022,3/1/2023,8,8/10/2023,Deposit,454.87,"1,003.58",25,8,"35,319.63",Mortgage,851.00%,12,10/21/2020,Approved,8,AMEX,"4,470.78","3,450.21",172.51,7/23/2023,7/18/2023,5559,8,8/30/2023,Complaint,Pending,12/19/2023,1
9,Daniel,Moore,52,Male,Address_9,Indianapolis,19458794862,daniel.moore@kag.com,Current," 1,109.30 ",4/29/2012,11/5/2023,9,9/28/2023,Withdrawal,768.56,340.74,66,9,"45,717.26",Mortgage,110.00%,60,12/17/2022,Rejected,9,AMEX,"4,349.57","3,227.18",161.36,11/28/2023,9/25/2023,4432,9,2/10/2023,Suggestion,Pending,7/12/2023,-1
10,William,Robinson,55,Other,Address_10,Washington,19458794863,william.robinson@kag.com,Current," 9,554.62 ",12/20/2021,2/5/2023,10,12/29/2023,Deposit,"1,641.59","11,196.21",30,10,"22,224.58",Auto,192.00%,24,9/11/2021,Closed,10,Visa,"4,961.44","2,765.38",138.27,11/15/2023,1/7/2023,8226,10,10/20/2023,Complaint,Resolved,4/30/2023,1
